[Wed Apr 15 15:12:22 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:14:25 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:14:29 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:14:32 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:14:36 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:14:39 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:14:43 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:14:47 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:14:50 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:14:54 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:14:57 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:15:00 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:15:04 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:15:07 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:15:11 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:15:14 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:15:18 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:15:22 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:15:25 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:15:29 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:15:32 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:15:36 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:15:39 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:15:43 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:15:46 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:15:50 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:15:53 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:15:57 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:16:01 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:16:04 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:16:08 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:16:11 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:16:15 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:16:18 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:16:22 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:16:25 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:16:29 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:16:32 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:16:36 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:16:39 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:16:43 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:16:47 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:16:50 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:16:54 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:16:57 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:17:01 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:17:04 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:17:08 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:17:11 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:17:15 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:17:18 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:17:22 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:17:26 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:17:29 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:17:33 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:17:36 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:17:40 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:17:43 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:17:47 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:17:50 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:17:54 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:17:57 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:18:01 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:18:05 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:18:08 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:18:12 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:18:15 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:18:19 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:18:22 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:18:26 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:18:29 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:18:33 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:18:36 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:18:40 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:18:43 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:18:47 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:18:51 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:18:54 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:18:58 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:19:01 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:19:05 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:19:08 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:19:12 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:19:15 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:19:19 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:19:22 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:19:26 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:19:29 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:19:33 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:19:37 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:19:40 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:19:44 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:19:47 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:19:51 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:19:54 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:19:58 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:20:01 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:20:05 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:20:08 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:20:12 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:20:16 2026] CPU: 140m | Predicted: 249.92427128427127m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:20:19 2026] CPU: 140m | Predicted: 346.4072127872129m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:20:23 2026] CPU: 140m | Predicted: 346.4072127872129m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:20:26 2026] CPU: 140m | Predicted: 346.4072127872129m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:20:30 2026] CPU: 626m | Predicted: 345.27915873015866m | Pods: 1 | Action: Anomaly Detected
[Wed Apr 15 15:20:34 2026] CPU: 626m | Predicted: 549.431984126984m | Pods: 1 | Action: Tier 1: Moderate Load (2 Pods)
[Wed Apr 15 15:20:37 2026] CPU: 626m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:20:41 2026] CPU: 626m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:20:44 2026] CPU: 627m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:20:48 2026] CPU: 627m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:20:51 2026] CPU: 627m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:20:55 2026] CPU: 627m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:20:58 2026] CPU: 627m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:21:02 2026] CPU: 40m | Predicted: 558.7666666666667m | Pods: 2 | Action: Anomaly Detected
[Wed Apr 15 15:21:06 2026] CPU: 40m | Predicted: 178.75470557220552m | Pods: 2 | Action: Optimizing: Scaled to 1 Pod
[Wed Apr 15 15:21:09 2026] CPU: 40m | Predicted: 178.75470557220552m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:21:13 2026] CPU: 40m | Predicted: 178.75470557220552m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:21:17 2026] CPU: 1m | Predicted: 13.005957792207793m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:21:20 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:21:24 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:21:27 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:21:31 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:21:34 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:21:38 2026] CPU: 629m | Predicted: 182.93411688311684m | Pods: 1 | Action: Anomaly Detected
[Wed Apr 15 15:21:42 2026] CPU: 629m | Predicted: 549.431984126984m | Pods: 1 | Action: Tier 1: Moderate Load (2 Pods)
[Wed Apr 15 15:21:45 2026] CPU: 629m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:21:49 2026] CPU: 629m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:21:52 2026] CPU: 629m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:21:56 2026] CPU: 629m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:22:00 2026] CPU: 1m | Predicted: 21.511666666666667m | Pods: 2 | Action: Optimizing: Scaled to 1 Pod
[Wed Apr 15 15:22:03 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:22:07 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:22:10 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:22:14 2026] CPU: 0m | Predicted: 3.343396113044385m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:22:17 2026] CPU: 0m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:22:21 2026] CPU: 0m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:22:24 2026] CPU: 0m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:22:28 2026] CPU: 0m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:22:31 2026] CPU: 626m | Predicted: 182.93411688311684m | Pods: 1 | Action: Anomaly Detected
[Wed Apr 15 15:22:35 2026] CPU: 626m | Predicted: 549.431984126984m | Pods: 1 | Action: Tier 1: Moderate Load (2 Pods)
[Wed Apr 15 15:22:39 2026] CPU: 626m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:22:42 2026] CPU: 626m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:22:46 2026] CPU: 627m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:22:49 2026] CPU: 627m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:22:53 2026] CPU: 627m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:22:57 2026] CPU: 627m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:23:00 2026] CPU: 624m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:23:04 2026] CPU: 624m | Predicted: 549.431984126984m | Pods: 1 | Action: Tier 1: Moderate Load (2 Pods)
[Wed Apr 15 15:23:08 2026] CPU: 624m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:23:11 2026] CPU: 624m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:23:15 2026] CPU: 624m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:23:18 2026] CPU: 624m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:23:22 2026] CPU: 624m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:23:25 2026] CPU: 624m | Predicted: 549.431984126984m | Pods: 2 | Action: Status Stable
[Wed Apr 15 15:23:33 2026] CPU: 17m | Predicted: 37.63666666666666m | Pods: 2 | Action: Optimizing: Scaled to 1 Pod
[Wed Apr 15 15:23:36 2026] CPU: 17m | Predicted: 11.186428571428571m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:23:40 2026] CPU: 17m | Predicted: 11.186428571428571m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:23:43 2026] CPU: 17m | Predicted: 11.186428571428571m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:23:47 2026] CPU: 40m | Predicted: 177.88142635142637m | Pods: 1 | Action: Anomaly Detected
[Wed Apr 15 15:23:50 2026] CPU: 40m | Predicted: 178.75470557220552m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:23:54 2026] CPU: 40m | Predicted: 178.75470557220552m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:23:58 2026] CPU: 40m | Predicted: 178.75470557220552m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:24:01 2026] CPU: 1m | Predicted: 13.005957792207793m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:24:05 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:24:08 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:24:12 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:24:15 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:24:19 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:24:22 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:24:26 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:24:30 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:24:33 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:24:37 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:24:40 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:24:44 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:24:47 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:24:51 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:24:55 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:24:58 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:25:02 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:25:05 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:25:09 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:25:12 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:25:16 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:25:19 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:25:23 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:25:26 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:25:30 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:25:34 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:25:37 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:25:41 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:25:44 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:25:48 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:25:51 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:25:55 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:25:58 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:26:02 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
[Wed Apr 15 15:26:05 2026] CPU: 1m | Predicted: 3.837480620226567m | Pods: 1 | Action: Status Stable
